Key,xTSNE,yTSNE
hospice,20.453024,-10.905771
thought leadership,-4.244204,-14.429901
invoice processing,5.4399014,-24.10252
telemetry,32.127197,-3.0857458
newsletters,-26.256048,-27.565947
external auditing,1.1046884,-37.028057
troubleshooting technical issues,-30.038097,7.8467197
sales strategy,-9.888546,-23.899773
staff development,11.162737,-10.068886
microsoft operating systems,-38.546413,12.1228285
computer engineering,-24.455244,21.906492
wiring,-8.284702,37.688854
patient safety,25.555042,-5.4381523
ajax,-47.446476,-12.636772
event planning,-1.3120139,-18.166428
filing,8.470365,-19.31469
self-motivation,0.6557942,-10.241538
software installation,-39.121025,13.082038
personnel management,9.989688,-3.575536
telemarketing,-8.014401,-21.20214
supply chain knowledge,2.357747,7.6725407
database design,-38.587963,-4.0744557
html5,-47.46091,-13.769523
point of sale system,-4.3143773,-8.012898
refunds exchanges and adjustments,8.223372,-0.41076675
configuration management,-31.8758,5.9221487
routers,-43.55521,17.573645
upselling products and services,-9.023172,-22.589102
customer complaint resolution,0.6246249,-9.03383
interaction with patients / medical personnel,25.55284,-4.275829
program development,7.675496,-10.499289
customer relationship management (crm),-14.259218,-19.476524
direct sales,-10.670574,-22.303665
wide area network (wan),-43.38422,17.621637
journalism,-26.131117,-29.270597
patient assistance,25.668253,-3.434066
service level agreement,-39.576546,8.546803
asset management industry knowledge,-5.60226,-10.835651
insurance underwriting,-5.4802647,-24.138441
electrical systems,-6.535198,37.89267
itil,-40.071342,8.746265
workers' compensation,10.770763,-26.232668
virtualization,-46.554253,9.149035
music,12.951992,-17.29393
sarbanes-oxley (sox),-0.21886797,-26.016476
simulation,-22.414314,19.743546
nurse management,27.10481,-5.1483765
therapy,31.070522,-17.621828
bartending,11.515236,-17.608437
commercial driving,14.133571,14.611178
computer numerical control (cnc),-11.307065,44.542675
marketing materials,-17.343073,-26.158161
professional services marketing,-5.2990212,-12.432246
software as a service (saas),-30.935713,-14.37995
oracle pl/sql,-40.097046,-4.0104933
disaster recovery planning,-42.665382,7.741245
fundraising,12.609177,-13.576221
trauma,32.561825,-4.1148005
git,-55.85895,-9.639239
basic internet skills,0.38238293,-8.175205
experiments,35.75988,22.19259
software architecture,-44.409832,-8.543448
internal medicine,34.741352,-6.157767
domain name system (dns),-45.10305,11.210103
insurance sales,-7.1304965,-23.779583
visual merchandising,-18.590271,-21.563982
adobe illustrator,-31.589752,-27.937368
construction management,4.0601974,42.27041
cancer knowledge,42.24142,-10.33627
contract management,2.486893,-18.40672
public speaking,0.50934964,-13.904765
quickbooks,3.615102,-26.591045
anesthesiology,33.689617,-3.2012203
calibration,37.98809,21.319178
electronic medical records,32.83937,-29.09199
cash control,3.2279112,-23.266901
teradata dba,-39.735687,-2.4918742
statistics,-2.4854634,-8.897686
data modeling,-37.732334,-5.8240285
quick learner,0.18592976,-10.100813
windows server,-44.03012,10.585379
mainframe,-36.074097,5.4036818
apache webserver,-49.95018,-4.3409867
online research,-23.833115,-32.36455
new hire orientation,7.0962996,-12.093963
market planning,-15.715714,-26.384813
financial services industry experience,-4.8900466,-44.579735
articulating value propositions,-12.383547,-22.16024
balance sheet,0.26139176,-27.7238
heavy lifting,4.068608,-9.666368
performance tuning,-42.31949,-1.47328
equipment operation,10.188612,16.144253
auto repair,-3.45634,42.45642
process design,-9.038659,22.847212
sales training,-11.564375,-23.251278
shell scripting,-47.024193,2.0665329
user interface (ui) design,-45.796116,-13.668012
hardware experience,-38.12085,13.540274
adobe creative suite,-31.520288,-27.898655
computer hardware/software knowledge,-38.10671,13.262679
billing systems,4.502237,-21.203194
network administration,-42.349747,17.824455
bathing,21.12323,-1.7889892
securities,-8.374999,-44.129364
medication administration,24.297146,-5.2393637
clinical research,46.048668,-21.805803
team management,-0.96024793,-12.480663
preparing proposals,-2.1479096,-16.13165
microsoft sql,-38.29795,-3.913546
government regulations,4.1841044,-11.383626
community health,27.867708,-10.014917
machine operation,-11.0093775,44.63982
statistical analysis,-2.4717877,-8.9070425
market trend,-12.864355,-25.49415
empower,1.9943196,-9.21335
critical care nursing,31.91171,-3.3516085
facility management,9.325939,19.735159
cash management,0.5417967,-25.344618
real estate experience,-3.2791371,-21.927963
broadcast industry knowledge,-31.50716,-32.72147
month-end close processes,1.4861234,-28.126152
lifecycle management,-4.3527784,-12.621573
laboratory testing,36.674927,16.935915
civil engineering,8.807471,42.223118
meal preparation,17.657824,-11.581037
lesson planning,19.317846,-36.631443
customer retention,-9.866217,-27.461948
visual studio,-43.3728,-11.37098
proposal writing,-2.1979225,-16.172295
equipment maintenance,10.364152,16.338638
resource management,2.258038,-7.2975125
content management,-29.171152,-27.091076
vendor relations,-3.5528908,-10.927121
big data,-60.29906,-13.434811
hand trucks,10.750945,11.7403145
due diligence,-2.6095486,-28.43699
billing,25.198593,-31.98658
