,SOC,SkillChange
315,Counter and Rental Clerks,4.175572804520678
316,"Computer Science Teachers, Postsecondary",4.175119564939273
317,Compensation and Benefits Managers,4.165913305099124
318,Insurance Sales Agents,4.158469959814341
319,Aerospace Engineers,4.158095077300036
320,Gaming Dealers,4.154931184385647
321,Cartographers and Photogrammetrists,4.1486826459273205
322,Animal Control Workers,4.138204522431346
323,Public Relations and Fundraising Managers,4.13538800247384
324,"Physical Scientists, All Other",4.135181809101677
325,Pipelayers,4.133221128948727
326,Tire Repairers and Changers,4.129784915866462
327,Private Detectives and Investigators,4.129166008716041
328,"Maintenance and Repair Workers, General",4.1254504928135765
329,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",4.121940330871553
330,"Credit Authorizers, Checkers, and Clerks",4.119999607565446
331,Flight Attendants,4.113177172541746
332,Natural Sciences Managers,4.111235218190495
333,Gaming Supervisors,4.106768870084572
334,Construction Managers,4.1061470432045875
335,"Office and Administrative Support Workers, All Other",4.098717155122919
336,Proofreaders and Copy Markers,4.097281896835332
337,Dental Laboratory Technicians,4.094163427434574
338,"Electronics Engineers, Except Computer",4.094016078963451
339,Costume Attendants,4.088161512592149
340,"Education Administrators, Preschool and Childcare Center/Program",4.0863095487646275
341,Mechanical Engineers,4.080702216094807
342,"Earth Drillers, Except Oil and Gas",4.077321644963361
343,Ophthalmic Laboratory Technicians,4.0754760978820475
344,Credit Analysts,4.073906115355994
345,Political Scientists,4.034743782401175
346,"Healthcare Support Workers, All Other",4.031311331256583
347,Nonfarm Animal Caretakers,4.02584617701483
348,Electrical and Electronics Engineering Technicians,4.02444347483855
349,"Pump Operators, Except Wellhead Pumpers",4.019860011391422
350,Motorcycle Mechanics,4.019426147147482
351,Order Clerks,4.015476432794727
352,"Maintenance Workers, Machinery",4.013741228300182
353,Millwrights,4.000157352735389
354,"Property, Real Estate, and Community Association Managers",3.9999383986369197
355,Fundraisers,3.974599252212113
356,Cashiers,3.9743703470319773
357,Electrical and Electronics Drafters,3.9648949066720576
358,"Ushers, Lobby Attendants, and Ticket Takers",3.9640564216777867
359,Compliance Officers,3.9623934813469663
360,Railroad Conductors and Yardmasters,3.9621803288373614
361,Sales Managers,3.9464096733022727
362,Medical Assistants,3.944606416907308
363,"Securities, Commodities, and Financial Services Sales Agents",3.9442461830470474
364,Judicial Law Clerks,3.9432437640886904
365,"Communications Equipment Operators, All Other",3.9321061206623926
366,Metal-Refining Furnace Operators and Tenders,3.923901378219601
367,General and Operations Managers,3.9038050009892955
368,Pest Control Workers,3.8958527364199966
369,"Transportation, Storage, and Distribution Managers",3.8803453603703852
370,Tile and Marble Setters,3.8792341678939675
371,Interior Designers,3.87879444508247
372,"Education, Training, and Library Workers, All Other",3.8578551642263523
373,Training and Development Specialists,3.847450028591451
374,Accountants and Auditors,3.830204107905755
375,Social and Human Service Assistants,3.824908271740899
376,"Medical Scientists, Except Epidemiologists",3.8245839613541843
377,Zoologists and Wildlife Biologists,3.8235171435135
378,Loan Officers,3.8229554342762966
379,Occupational Health and Safety Specialists,3.822355406971399
380,Genetic Counselors,3.8212275672933202
381,Adhesive Bonding Machine Operators and Tenders,3.810277777777778
382,Printing Press Operators,3.8093017881115596
383,First-Line Supervisors of Office and Administrative Support Workers,3.8090524820007126
384,"Counselors, All Other",3.794913973742266
385,"Managers, All Other",3.7937487067094526
386,Probation Officers and Correctional Treatment Specialists,3.7931092793729544
387,Medical Records and Health Information Technicians,3.7778325320318
388,First-Line Supervisors of Retail Sales Workers,3.777549840478784
389,Foresters,3.7731569135369796
390,Credit Counselors,3.7717648126435726
391,Gaming Cage Workers,3.770811608641446
392,"Police, Fire, and Ambulance Dispatchers",3.7663551405507483
393,Dental Hygienists,3.765154844816652
394,Civil Engineers,3.7597079685006167
395,Locomotive Engineers,3.7573736833456595
396,First-Line Supervisors of Construction Trades and Extraction Workers,3.7565538443429283
397,"Compensation, Benefits, and Job Analysis Specialists",3.7454126475682386
398,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",3.7276187876306395
399,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",3.720003145648667
400,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",3.717240295659074
401,Interpreters and Translators,3.7161698852727536
402,Budget Analysts,3.714086831992913
403,First-Line Supervisors of Production and Operating Workers,3.7127025400091473
404,Tool and Die Makers,3.7100794634201524
405,"Meeting, Convention, and Event Planners",3.709891670872833
406,Chief Executives,3.7076635824600337
407,"Camera Operators, Television, Video, and Motion Picture",3.7048050537858304
408,"Sales and Related Workers, All Other",3.6805433538762506
409,"Personal Care and Service Workers, All Other",3.674091627172197
410,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",3.6731757619606973
411,Legal Secretaries,3.6670129819189676
412,Librarians,3.666811142932159
413,"Cutters and Trimmers, Hand",3.6655402579587544
414,Human Resources Specialists,3.664970731866817
415,"Electrical and Electronics Installers and Repairers, Transportation Equipment",3.662390670553935
416,Boilermakers,3.6552214938657848
417,File Clerks,3.6466272278694825
418,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,3.6419516676715804
419,Radio and Television Announcers,3.6353918699000802
420,"Educational, Guidance, School, and Vocational Counselors",3.6291377221664
421,"Material Moving Workers, All Other",3.6204943943706773
422,Library Technicians,3.620325627520226
423,Automotive Service Technicians and Mechanics,3.6169783298327096
424,"Judges, Magistrate Judges, and Magistrates",3.6167845161290346
425,Anthropologists and Archeologists,3.6112993957820696
426,Fishers and Related Fishing Workers,3.5960301280564355
427,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",3.591857303513969
428,"Life Scientists, All Other",3.590141874929356
429,Highway Maintenance Workers,3.586212743817036
430,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",3.5835209158458903
431,Power Plant Operators,3.5773408360032697
432,Community Health Workers,3.573138689286471
433,Chemists,3.56518954953187
434,Landscape Architects,3.5624155400758313
435,"Farmers, Ranchers, and Other Agricultural Managers",3.5612891375818956
436,Helpers--Electricians,3.558611943170521
437,Signal and Track Switch Repairers,3.5559854897218877
438,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",3.540893726302804
439,Operations Research Analysts,3.5384495971772383
440,Procurement Clerks,3.5372020998674185
441,Astronomers,3.529078967378974
442,Recreational Therapists,3.528009036758815
443,Animal Breeders,3.522633744855969
444,"Paper Goods Machine Setters, Operators, and Tenders",3.522439420733169
445,Chemical Equipment Operators and Tenders,3.51473042210886
446,Stationary Engineers and Boiler Operators,3.514284061771605
447,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",3.5134282018111245
448,"Umpires, Referees, and Other Sports Officials",3.50897976833978
449,Social and Community Service Managers,3.506508239275336
450,Insurance Underwriters,3.504350852424003
451,Medical and Health Services Managers,3.499991392142329
452,Automotive Body and Related Repairers,3.499067878967372
453,Slot Supervisors,3.4922680136521262
454,Payroll and Timekeeping Clerks,3.492185053160821
455,Food Service Managers,3.4899308412238685
456,Light Truck or Delivery Services Drivers,3.482471288316792
457,Microbiologists,3.479828001150293
458,"Title Examiners, Abstractors, and Searchers",3.476360668275309
459,"Bookkeeping, Accounting, and Auditing Clerks",3.4755591110969872
460,Industrial Engineering Technicians,3.4719825488533167
461,Medical Transcriptionists,3.471503481364787
462,Bridge and Lock Tenders,3.465064977194215
463,Health Educators ,3.4629250478050553
464,"Extraction Workers, All Other",3.4617026586801067
465,Air Traffic Controllers,3.4611513970476584
466,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",3.454305118182527
467,First-Line Supervisors of Food Preparation and Serving Workers,3.453462662315191
468,Radiation Therapists,3.446868087524422
469,Coaches and Scouts,3.443814496072886
470,"Dispatchers, Except Police, Fire, and Ambulance",3.4416124667175176
471,Tire Builders,3.4244459103562224
472,Surveying and Mapping Technicians,3.420737982882876
473,Security Guards,3.4052943539315685
474,Parking Enforcement Workers,3.4049022061138423
475,Pharmacy Technicians,3.3997178185047594
476,"Child, Family, and School Social Workers",3.3968827301227456
477,"Human Resources Assistants, Except Payroll and Timekeeping",3.394113993831378
478,"Drafters, All Other",3.378207859339751
479,Medical and Clinical Laboratory Technicians,3.377865426102403
480,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",3.376596689481354
481,Loan Interviewers and Clerks,3.3669602099398435
482,"Agents and Business Managers of Artists, Performers, and Athletes",3.365297097715939
